"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GENE_0582",70.6754892733648,1.11021078133058,0.197977131140876,5.60777285200976,2.04946758283718e-08,5.39333574430837e-07
"GENE_0053",745.20586358564,-1.27313581891573,0.227696588226806,-5.59136976460786,2.25285239826749e-08,5.77654461094229e-07
"GENE_0188",127.448351392634,-1.14040120374593,0.213777829720895,-5.33451576917409,9.5799862732267e-08,2.39499656830667e-06
"GENE_0715",49.5810065799369,1.13839904612442,0.214273166750035,5.31283997614338,1.07929810962001e-07,2.63243441370733e-06
"GENE_0085",312.906292728904,0.992394956177798,0.19013472855745,5.21943026246225,1.79474377364644e-07,4.21169222108856e-06
"GENE_0711",133.127640702716,-0.955324348859032,0.183090997621257,-5.21775707856058,1.81102765506808e-07,4.21169222108856e-06
"GENE_0658",26.2540929072794,1.63113129973189,0.317314743869607,5.14042076910918,2.74123899080234e-07,6.23008861545986e-06
"GENE_0556",120.177081941078,1.01993919277105,0.200648072609308,5.08322447112176,3.71080722742118e-07,8.24623828315818e-06
"GENE_0039",135.868422492029,1.05176522924856,0.211463430741868,4.9737452265798,6.56716064426305e-07,1.42764361831805e-05
"GENE_0488",292.187564512435,0.953678029204905,0.194362949389365,4.90668634223291,9.26279841592115e-07,1.97080817360024e-05
"GENE_0448",182.625284763647,1.13028122821319,0.230844577847124,4.89628666505528,9.76645660693288e-07,2.03467845977768e-05
"GENE_0937",98.4803864976097,-0.926662069491961,0.191472235832254,-4.83966808798218,1.30056152444067e-06,2.65420719273607e-05
"GENE_0677",63.8801156185611,1.25304568720132,0.260702600187598,4.80641806525768,1.53658413767211e-06,3.07316827534421e-05
"GENE_0090",577.648088189621,-0.830530232235855,0.17531814233506,-4.73727488310128,2.16611264183733e-06,4.24727968987712e-05
"GENE_0844",123.521098363579,-0.960530456799515,0.207922524665547,-4.61965560655141,3.8437751863466e-06,7.39187535835885e-05
"GENE_0620",598.148086398134,-0.886008865430045,0.192957254187288,-4.59173649190752,4.39573159570692e-06,8.29383319944702e-05
"GENE_0396",580.963434355457,-0.900026291214644,0.205515292336812,-4.37936409004359,1.19026126477793e-05,0.000220418752736654
"GENE_0943",589.745460260843,-0.866540684670343,0.203798958482836,-4.25193872982096,2.1192784763156e-05,0.000385323359330108
"GENE_0209",112.063878220501,-0.861329872840655,0.202877559406076,-4.24556503618338,2.18043251124231e-05,0.000389362948436126
"GENE_0550",188.202562849432,-0.786140184775275,0.190887585296882,-4.11834108306527,3.81609591663185e-05,0.000669490511689798
"GENE_0778",72.5000758797409,0.825396184087711,0.200880321139897,4.10889518397816,3.97556449758982e-05,0.000685442154756865
"GENE_0557",197.081645308586,0.629886020903072,0.157422128424564,4.00125463431852,6.30075090104779e-05,0.00106792388153352
"GENE_0625",33.7235323266632,0.946183442909405,0.241977128554146,3.91021849280968,9.22126717590215e-05,0.00153687786265036
"GENE_0547",194.450182799171,0.622048502625506,0.167675088774672,3.70984448060403,0.000207386601637285,0.00339978035470959
"GENE_0423",114.865207599366,-0.697814548894089,0.190412689671736,-3.66474813258031,0.000247582107064563,0.00399325979136391
"GENE_0932",362.882518225134,0.664555765887597,0.185157536693688,3.58913700060178,0.000331774460027813,0.00526626127028275
"GENE_0699",71.532849264546,0.713637957095193,0.20037682903611,3.56147944115129,0.000368770988493326,0.00576204669520822
"GENE_0898",35.0440315968213,0.9593852014514,0.271162148157425,3.53804986415147,0.000403093927318065,0.00620144503566254
"GENE_0263",181.761009726797,-0.560181465078757,0.161905578499416,-3.45992689239411,0.000540322063448895,0.00818669793104387
"GENE_0317",199.207998050292,0.798792608942573,0.232937700464193,3.42921136145311,0.000605337918325954,0.00903489430337245
"GENE_0569",71.2838496501498,-0.706285127482151,0.209091361203949,-3.37787808838852,0.000730474573636839,0.0107422731417182
"GENE_0497",48.1093476686102,0.976744396501206,0.292513976780068,3.33913752516376,0.000840389478577542,0.0121795576605441
"GENE_0069",334.150311790504,0.559693803994781,0.170295356835031,3.28660636670775,0.00101402469836496,0.0144860671194995
"GENE_0806",233.447453092506,0.492443005067293,0.153205817261554,3.21425787786238,0.00130782159880886,0.0184200225184346
"GENE_0081",194.714759536927,0.60936112622709,0.192539216864938,3.16486758463624,0.00155153543312869,0.0215491032378984
"GENE_0171",73.7346667849982,0.615936064016306,0.198811970109175,3.0980833984899,0.00194776607383487,0.0266817270388339
"GENE_0386",60.0104353878723,-0.808402360945496,0.261500887538479,-3.09139432969054,0.00199218875918849,0.0269214697187634
"GENE_0405",191.684237608947,-0.614579307725239,0.19954291657754,-3.07993547586753,0.00207045444687595,0.0276060592916793
"GENE_0895",224.766176507416,0.618970072334542,0.201700878815805,3.06875248124125,0.00214954605708718,0.0282835007511471
"GENE_0903",77.3779614435125,-0.612412920589568,0.200073732011976,-3.06093615804053,0.00220646135752645,0.0286553423055384
"GENE_0650",27.9759103064398,0.772693771670904,0.254570846983792,3.03527988701746,0.00240312562926486,0.0308093029392931
"GENE_0626",79.683053296925,0.676922273099813,0.224155118986459,3.01988317804469,0.00252872200539468,0.0320091393087934
"GENE_0392",132.289925249303,0.597722166867795,0.198929367391647,3.00469545902197,0.00265846884915789,0.0332308606144736
"GENE_0020",125.799007139441,-0.541726005945698,0.182397546734656,-2.97002901433635,0.00297771623570727,0.0367619288358923
"GENE_0236",134.856321161375,-0.525864917938999,0.183791980106124,-2.8611962156094,0.00422045756572847,0.0508488863340779
"GENE_0788",65.2641251093113,0.638706094413451,0.22318959407483,2.86171986225894,0.00421349147080098,0.0508488863340779
"GENE_0361",215.854192624442,0.526674575414723,0.185174722632272,2.84420339843369,0.00445226162536616,0.0523795485337195
"GENE_0514",92.2359781393338,-0.631182405095897,0.221723270730316,-2.84671249443911,0.00441732370242508,0.0523795485337195
"GENE_0843",181.480802649495,-0.642549809261866,0.226587091887715,-2.83577411188224,0.00457147666469904,0.0531567054034772
"GENE_0709",198.54816885181,-0.548409221043259,0.194493711644641,-2.81967584661686,0.00480721836312894,0.0552553834842407
"GENE_0309",135.977462159494,-0.586111095738271,0.209595338089648,-2.79639376085541,0.00516763976384188,0.0587231791345668
"GENE_0566",112.839076120833,0.5163095158212,0.18508755416337,2.78954205297603,0.00527826412307194,0.0593063384614824
"GENE_0330",34.1962110561142,0.650383780786062,0.234497262287267,2.77352398250739,0.00554527528756331,0.0616141698618146
"GENE_0344",50.2436641157702,-0.643569341721409,0.234495097935303,-2.74448953256571,0.00606050872028739,0.0665989969262351
"GENE_0485",337.598602814614,0.396435097423193,0.146859304051049,2.69942105462648,0.00694602334505607,0.0755002537506094
"GENE_0198",29.5998983916745,-0.755316092599781,0.281054127171413,-2.68743996112578,0.00720020450739652,0.0774215538429734
"GENE_0830",115.955744877119,-0.505202315915453,0.191859560485234,-2.63318812280056,0.00845874811620907,0.0899866820873306
"GENE_0245",45.725196039891,0.617256577354745,0.235074177291196,2.62579490638873,0.00864468875227592,0.0909967237081676
"GENE_0973",51.6454999482204,-0.598763374353799,0.231653193950281,-2.58474042228103,0.00974523349676902,0.101512848924677
"GENE_0492",52.6352248502555,0.613973666876252,0.243565309825387,2.52077632613779,0.0117096258646309,0.120717792418875
"GENE_0865",82.9806851132377,-0.488574350843587,0.198634525053359,-2.45966480757734,0.0139066830829548,0.141904929417907
"GENE_0037",287.287836763706,0.413706370142908,0.172263619339832,2.4015887494316,0.0163240487760363,0.164889381576124
"GENE_0316",84.1539953845449,0.463263343402194,0.194487728904384,2.38196695499461,0.0172204426565549,0.172204426565549
"GENE_0206",189.866507954262,0.422952712889797,0.179436538435921,2.35711587270081,0.0184174989292398,0.18125876128451
"GENE_0701",114.468722985251,0.412619719449433,0.175158832558426,2.35568891058805,0.01848839365102,0.18125876128451
"GENE_0425",55.0896346309598,0.542628420159267,0.232017855936192,2.33873560278264,0.0193491213597223,0.18785554718177
"GENE_0573",476.384957968618,-0.338647538779709,0.146330898050374,-2.31425859672596,0.020653541448844,0.198591744700423
"GENE_0900",125.727419668324,0.468406544068072,0.203729297503599,2.29916143533454,0.0214957739875104,0.204721657023908
"GENE_0005",73.2055123034826,0.441990491291366,0.194203182071726,2.27591786383873,0.0228509260927007,0.215574774459441
"GENE_0754",218.455674626078,-0.465506552119895,0.206482015324482,-2.25446536536541,0.0241669071669574,0.225858945485583
"GENE_0203",123.771907231081,-0.399341912754864,0.18052293708467,-2.21213946107891,0.0269570302649558,0.247341530082399
"GENE_0339",536.120289271174,-0.461182538797387,0.208482419051533,-2.2120931870202,0.0269602267789815,0.247341530082399
"GENE_0775",204.431209878339,0.464235032318837,0.213722206651232,2.1721422382486,0.0298449358985687,0.271264802270392
"GENE_0854",200.708992286044,0.364763682202798,0.168199652800102,2.16863516737638,0.0301103930520135,0.271264802270392
"GENE_0536",208.186847582873,-0.33324771671187,0.15496766988249,-2.15043380961052,0.0315209164043559,0.280419120217259
"GENE_0586",27.7726114314498,-0.61927770509696,0.288259727261325,-2.14833237712581,0.0316873605845502,0.280419120217259
"GENE_0552",488.63924103973,-0.448568945092448,0.209384832396332,-2.14231823747089,0.0321678822536212,0.282174405733519
"GENE_0498",45.732886908986,0.513862744725747,0.24056784344314,2.13604086635628,0.0326760829802623,0.284139852002281
"GENE_0438",213.822478890683,-0.429078872545908,0.201292300490215,-2.13162088912966,0.0330380250805282,0.284810561039036
"GENE_0256",29.6657785421123,-0.607691042856087,0.287891098979519,-2.11083651078535,0.0347863667150732,0.297319373633105
"GENE_0015",48.5295305407019,0.579092814767666,0.278556912275043,2.07890305086337,0.0376262622568423,0.316503244362379
"GENE_0399",295.687359624328,-0.360591734399698,0.173773595648377,-2.07506631288989,0.0379803893234855,0.316503244362379
"GENE_0401",29.8671077641054,-0.510948203644831,0.245908533356677,-2.07779777574342,0.037727988789085,0.316503244362379
"GENE_0909",205.919949716515,-0.481478964178348,0.232543449044508,-2.07049033699588,0.0384064500115462,0.317408677781373
"GENE_0306",29.0513498972599,-0.607539168774894,0.295213906321153,-2.0579625680437,0.0395937267684853,0.324538744003978
"GENE_0720",29.3604924384977,0.54752972786664,0.269736807630958,2.02986656762004,0.0423701042306441,0.341694388956808
"GENE_0838",103.681155892818,-0.369208867270418,0.18174170305949,-2.03150328766075,0.0422039663746754,0.341694388956808
"GENE_0158",487.025157470085,-0.370488264167733,0.183574447030081,-2.0181908220975,0.0435713916315277,0.347220611693344
"GENE_0253",326.990378197876,-0.306101224856822,0.151799774700486,-2.01648009992628,0.0437497970733614,0.347220611693344
"GENE_0651",45.6768335027393,0.453803037173918,0.2270227702512,1.99893181054829,0.0456157323344957,0.354239398882924
"GENE_0660",433.052915848338,-0.370678248218244,0.185507707982817,-1.99818245963439,0.0456968824558972,0.354239398882924
"GENE_0957",84.1567779062438,-0.450724682036338,0.22488012774778,-2.00428862501297,0.0450391516583932,0.354239398882924
"GENE_0920",115.315044586645,-0.316773853235751,0.160117060068801,-1.97838914291604,0.0478848235950437,0.368344796884952
"GENE_0233",21.6533787067094,0.591530672435052,0.299632777910502,1.97418545647812,0.0483606590844201,0.369165336522291
"GENE_0710",293.982626272217,-0.479216055348784,0.246518067915215,-1.94393887393925,0.0519028227259408,0.393203202469249
"GENE_0009",79.0317787705198,0.382102570043395,0.199753867207466,1.91286694663358,0.0557650879911944,0.417196363540162
"GENE_0810",45.8253652733383,-0.396696612884169,0.20750109450822,-1.91178082132214,0.0559043127143818,0.417196363540162
"GENE_0043",237.117230611314,0.306019450497485,0.161507366035593,1.89477085788177,0.0581227656091916,0.423997333559832
"GENE_0493",28.9967622952237,0.468617724353118,0.247704076013422,1.89184502691722,0.0585116320312569,0.423997333559832
"GENE_0508",47.5179107093469,-0.419835834766045,0.220971374700691,-1.89995575370212,0.0574389263898514,0.423997333559832
"GENE_0893",20.1630072085841,-0.529301591721866,0.279719573519042,-1.89225796773151,0.0584566182618198,0.423997333559832
"GENE_0598",229.402438858499,-0.363657018650524,0.193644132372803,-1.87796559696636,0.0603858715831353,0.434430730813923
"GENE_0147",30.030781850469,-0.492100800291476,0.263658152472182,-1.86643498665719,0.0619805320241906,0.436482619888666
"GENE_0646",87.1969825520827,0.384366189249194,0.205804821198944,1.86762480592056,0.0618143863145571,0.436482619888666
"GENE_0725",52.642168914014,0.435722889534311,0.233438028490497,1.86654630503808,0.0619649719330659,0.436482619888666
"GENE_0581",216.31298694231,0.363972751637453,0.195567080130907,1.86111461803193,0.0627279923128566,0.438657288901095
"GENE_0011",29.11645099323,0.498031855030295,0.271637012165667,1.83344622685863,0.0667362384074387,0.456628028277459
"GENE_0463",83.38648337059,-0.394360232528984,0.215587670357608,-1.82923370281258,0.0673646055623676,0.456628028277459
"GENE_0510",76.9982017518014,-0.366247537731993,0.200377159854231,-1.82779084202226,0.067580948185064,0.456628028277459
"GENE_0828",311.278962698516,-0.322459230788437,0.176407194954935,-1.82792561760767,0.0675607157530943,0.456628028277459
"GENE_0862",534.625775444227,0.304983642357303,0.166676662028838,1.82979211753433,0.0672810299425249,0.456628028277459
"GENE_1000",118.957056191364,-0.340524374718463,0.187014648713072,-1.82084332463663,0.0686306764174788,0.46060856656026
"GENE_0406",19.4195868115971,-0.552515410682914,0.305888881322031,-1.80626183042345,0.0708774509682957,0.472516339788638
"GENE_0018",85.2182603244119,0.3467091346802,0.195755607186322,1.77113258549064,0.0765386564461756,0.494773607813252
"GENE_0274",52.6196800122052,-0.407510918326912,0.229482441378021,-1.77578256480036,0.0757687625227193,0.494773607813252
"GENE_0278",82.6697641137891,0.37711446124887,0.213032112904661,1.77022354098155,0.0766899092110541,0.494773607813252
"GENE_0513",208.11507308886,0.379130810765311,0.213161529121072,1.7786080458729,0.0753040440863885,0.494773607813252
"GENE_0519",51.9296961767253,-0.418813039396964,0.235912788708966,-1.77528756151339,0.0758504181463572,0.494773607813252
"GENE_0113",473.971843883349,0.311893303151816,0.17739210318232,1.75821413443223,0.0787110811481541,0.495038246214806
"GENE_0163",493.403804414077,0.294344428493126,0.16688164846153,1.76379147261947,0.0777670937205677,0.495038246214806
"GENE_0197",31.0542563202501,-0.454725862413907,0.258560668254276,-1.75868149430491,0.0786316223301691,0.495038246214806
"GENE_0918",85.9145065581072,0.312486082259747,0.177095729855065,1.76450376593205,0.0776472018733554,0.495038246214806
"GENE_0157",184.49643524808,-0.322846203031805,0.184578821985215,-1.74909667078526,0.0802743106212545,0.501714441382841
"GENE_0891",47.3076131848423,0.423089673210283,0.243697895915597,1.73612361986423,0.0825419788009194,0.512683098142357
"GENE_0506",202.177529832098,-0.311781430286457,0.18180989636638,-1.71487601344957,0.0863679612462821,0.533135563248655
"GENE_0471",325.694521473443,-0.308101291557274,0.18066613345143,-1.70536273551293,0.0881267938002012,0.540655176688351
"GENE_0032",132.847728221605,0.319759700722122,0.190890231744972,1.67509724200722,0.0939151540113961,0.572653378118269
"GENE_0231",80.9404283124902,0.3558833345112,0.213750111353634,1.66495040520665,0.0959226507612445,0.577847293742437
"GENE_0756",45.8675929535609,-0.413927173339495,0.248307427803828,-1.66699472907638,0.0955154529675233,0.577847293742437
"GENE_0230",24.1822935389189,0.445370078690663,0.268525122263691,1.65857881354323,0.0972006939194519,0.578729198774277
"GENE_0351",307.227692535705,-0.28155756543754,0.169771428438871,-1.65845082430299,0.0972265053940786,0.578729198774277
"GENE_0156",48.8090817553668,0.389719149665577,0.23651763029617,1.64773826449033,0.0994063923350072,0.582119805656557
"GENE_0299",212.912139924426,0.342119432401751,0.207713241128666,1.64707570178363,0.0995424867672712,0.582119805656557
"GENE_0970",473.604101285595,0.317063788222441,0.192487902083348,1.64718813385556,0.099519382066231,0.582119805656557
"GENE_0433",240.659830866969,-0.295582063810186,0.180616256796609,-1.63651970787458,0.101730864502404,0.588039679204649
"GENE_0633",117.508521725579,0.340568066516696,0.207805873352781,1.63887603859267,0.101239078935374,0.588039679204649
"GENE_0734",469.333584827028,0.261873877643368,0.160365166629866,1.63298478807303,0.102472196046437,0.588920666933546
"GENE_0179",285.793758771198,0.336387116177203,0.207871958947317,1.61824191141845,0.105610473818629,0.594968048890017
"GENE_0223",295.30443521345,0.334935675143408,0.206335693867153,1.62325610691019,0.104534668338981,0.594968048890017
"GENE_0391",79.7149573951107,0.323475376552071,0.200609868344483,1.61245994138536,0.106861890234129,0.594968048890017
"GENE_0413",130.934124901653,-0.328463439627681,0.20262697740363,-1.62102521508469,0.105012231072253,0.594968048890017
"GENE_0886",29.503008320226,0.419275271492274,0.260187075956926,1.6114377316792,0.107084348859917,0.594968048890017
"GENE_0887",115.065049556743,-0.342958812723586,0.21283384373573,-1.61139228002398,0.107094248800203,0.594968048890017
"GENE_0904",305.763443442687,0.300640797701984,0.187302755506876,1.605106112232,0.108470454407171,0.599284278492655
"GENE_0187",43.3777582305764,-0.379372147506904,0.23676594524771,-1.60230875732571,0.109087350106665,0.599381044542113
"GENE_0295",220.665285375493,0.394206142540704,0.247411847943384,1.59331958359129,0.111088515583638,0.60704106876305
"GENE_0159",320.958551302397,0.269688274120154,0.169775486077406,1.58849949631241,0.112173434858125,0.609052284203742
"GENE_0853",17.5304801914574,-0.528677983923874,0.333808895266181,-1.5837744033223,0.113245066179528,0.609052284203742
"GENE_0934",371.985991679032,0.270356714149487,0.170722358937089,1.58360460711015,0.113283724861896,0.609052284203742
"GENE_0298",57.5621428148539,0.388393552829617,0.246117178868371,1.57808388108227,0.114546340746138,0.60928904652201
"GENE_0997",517.386156801124,0.291144301938276,0.184470342502927,1.57827159633347,0.11450322827299,0.60928904652201
"GENE_0696",45.6234325166152,0.404768052244836,0.257642369896955,1.571046145891,0.116171930413066,0.61143121270035
"GENE_0757",240.947212551579,0.330377478412495,0.210223077008117,1.57155666787114,0.116053402522009,0.61143121270035
"GENE_0407",51.3461402326092,0.329965979289895,0.212381284515186,1.55364904230204,0.120268154306681,0.62967620055854
"GENE_0122",85.3727272844889,0.305661011339655,0.197874603292985,1.54472077898281,0.122413816570395,0.636625651161568
"GENE_0515",308.438352718834,0.237785986876713,0.154121909272851,1.54284350614776,0.122868750674183,0.636625651161568
"GENE_0232",307.913980037986,0.232305477700837,0.152287812968724,1.52543708634483,0.127150114471711,0.6520518690857
"GENE_0652",195.038767069289,0.262683243710261,0.171989774727262,1.52731895908823,0.126681717292473,0.6520518690857
"GENE_0942",29.3937050879738,0.37811622708096,0.248301454305152,1.52281116572225,0.127805955666536,0.652071202380287
"GENE_0640",118.123528329787,-0.331366471887049,0.218129937102908,-1.51912422608328,0.128731229798074,0.653458019279563
"GENE_0434",500.628708019642,-0.3163734803561,0.209144490149049,-1.51270291715853,0.130355138266485,0.655056156988064
"GENE_0630",86.4658781669842,-0.331594236097228,0.219207041131432,-1.51269883661452,0.130356175240625,0.655056156988064
"GENE_0879",24.0785009638481,0.407824263853829,0.274822305125809,1.48395620096096,0.137820540559341,0.689102702796704
"GENE_0346",210.106616762644,-0.261660348943629,0.177159107629151,-1.47697937997839,0.139681164701206,0.691490914362405
"GENE_0432",180.425094352675,-0.234708477581269,0.158655890973541,-1.47935557980895,0.139045305499702,0.691490914362405
"GENE_0695",85.7913954730419,0.290878490753094,0.198054879413843,1.46867621547103,0.141920631616411,0.699116411903503
"GENE_0031",21.2442553216222,0.417487382803301,0.286869421554626,1.45532200867147,0.145580136456093,0.700944812620223
"GENE_0165",281.247148487441,0.254717106772387,0.17393240524103,1.46446032537414,0.143068215769758,0.700944812620223
"GENE_0183",20.9452002800792,-0.44000168570978,0.30302835705798,-1.45201488725886,0.146497465837627,0.700944812620223
"GENE_0305",78.416168456674,-0.337929513720164,0.2323943961998,-1.45412075009601,0.145912831626874,0.700944812620223
"GENE_0495",214.469254378923,0.268281274651713,0.184276257504492,1.45586457140402,0.14543006126194,0.700944812620223
"GENE_0766",77.2797222801625,-0.346555404167444,0.238270589955064,-1.45446151886727,0.145818394767354,0.700944812620223
"GENE_0095",305.952204233247,-0.269531469252644,0.18765387363988,-1.43632243781918,0.150910612185087,0.708600719940922
"GENE_0173",25.6522993741955,-0.382999156852444,0.266967841209278,-1.43462656444904,0.151393540585076,0.708600719940922
"GENE_0202",75.3447631930504,0.300392461709715,0.212652338612315,1.41259890989188,0.157773689766515,0.708600719940922
"GENE_0257",53.1162721726601,-0.336305044042585,0.237099694089341,-1.41841196942187,0.156070523096889,0.708600719940922
"GENE_0275",466.034651753838,-0.233539350148542,0.163913559881672,-1.4247713875358,0.15422329572095,0.708600719940922
"GENE_0383",296.047046829361,-0.215160957491074,0.150202131236343,-1.4324760622239,0.152007624048982,0.708600719940922
"GENE_0420",31.4664936833128,0.365235803503534,0.258868010048682,1.41089585937965,0.158275323264475,0.708600719940922
"GENE_0466",30.1349970260475,0.405831528884855,0.285866700421547,1.41965303509085,0.155708717229096,0.708600719940922
"GENE_0539",123.327093126452,0.261104352524312,0.182737554148193,1.42884889611998,0.153047668353024,0.708600719940922
"GENE_0632",18.9444670213248,-0.412155484622953,0.290616103072793,-1.41821282532206,0.156128638590693,0.708600719940922
"GENE_0678",124.500972281623,0.270187121232199,0.190389677624477,1.41912694324276,0.155862010133944,0.708600719940922
"GENE_0682",123.517388311606,-0.295192001013529,0.20654669108896,-1.42917806844163,0.152953059573986,0.708600719940922
"GENE_0704",46.4516193842037,-0.343706588977085,0.244287841262595,-1.40697378633602,0.159435161986707,0.708600719940922
"GENE_0746",577.350487659718,0.267739732518113,0.19025773505418,1.40724755522748,0.159353994665403,0.708600719940922
"GENE_0748",112.187218115774,-0.303908477804635,0.211772805298807,-1.43506847999594,0.151267584446046,0.708600719940922
"GENE_0947",47.666263767219,-0.319952605197116,0.226428338101901,-1.41304135285896,0.157643565503682,0.708600719940922
"GENE_0205",521.331775781842,0.226541581875768,0.162972342031338,1.39006152241591,0.16451019615883,0.709722258633673
"GENE_0337",192.898448252566,0.256816219476996,0.183994423024182,1.39578262892916,0.162779962939574,0.709722258633673
"GENE_0343",210.04958814907,0.281462623622122,0.20141724166214,1.39741077426853,0.162290081012822,0.709722258633673
"GENE_0380",72.2881870795658,-0.285493387156682,0.204992707571905,-1.39270021133088,0.163710464687728,0.709722258633673
"GENE_0486",18.0509691754191,-0.427090830131086,0.307351812346653,-1.38958292410973,0.164655564003012,0.709722258633673
"GENE_0524",20.659399640731,0.417638133171816,0.298828643163026,1.39758400918741,0.162238023050669,0.709722258633673
"GENE_0627",29.1884425038937,0.36018948457418,0.258919878736474,1.39112333256102,0.164188030637049,0.709722258633673
"GENE_0764",80.2266484816457,-0.305999800807833,0.220855298631904,-1.38552166374708,0.165893012948771,0.710824831770451
"GENE_0852",210.499581613158,0.265041394879355,0.191492400001941,1.38408310134851,0.166333010634286,0.710824831770451
"GENE_0277",278.469164005302,0.218963191361532,0.159231171998871,1.37512767514569,0.169091865749836,0.714867106993624
"GENE_0446",303.229129387259,0.300642080628622,0.218776293556747,1.37419861969935,0.169380029160061,0.714867106993624
"GENE_0989",502.846110550173,0.232882863704741,0.169485399782891,1.37405855609428,0.169423504357489,0.714867106993624
"GENE_0576",319.157869128221,-0.276529558764981,0.201622623925951,-1.37152048406305,0.170212762449784,0.715179674158755
